countryCode,usageType,domain,isp,totalReports,numDistinctUsers,lastReportedAt,isWhitelisted,isTor,abuseConfidenceScore,abuseConfidenceClass
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1136,781,1741033700.0,True,True,24,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1469,685,1736603712.0,True,True,24,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",870,15,1735879605.0,True,True,21,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1304,509,1741890376.0,True,False,4,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1140,670,1737976913.0,True,True,24,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1105,726,1737724101.0,True,True,24,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1734,127,1737542227.0,False,True,58,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1054,494,1736840328.0,True,True,23,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1648,610,1741847768.0,False,False,51,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",131,675,1736529591.0,True,True,22,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",476,960,1741346366.0,False,False,38,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1248,688,1741882971.0,False,False,45,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",340,477,1743153944.0,True,False,2,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1492,170,1740244666.0,False,False,34,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",97,279,1736399095.0,False,False,10,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1406,65,1740623210.0,True,False,3,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1133,237,1739209136.0,False,True,49,1.0
DZ,Data Center/Web Hosting/Transit,garcia.org,Doyle Ltd,881,858,1735936412.0,True,False,4,1.0
DZ,Data Center/Web Hosting/Transit,rodriguez.com,"Rodriguez, Figueroa and Sanchez",1697,158,1735919757.0,False,True,58,1.0
DZ,Data Center/Web Hosting/Transit,garcia.org,Doyle Ltd,140,55,1736455772.0,False,False,4,1.0
